val_loss,epoch,step,train_loss
0.692981303,0,14,
0.692695796,1,29,
0.692385912,2,44,
,3,49,0.692301452
0.692071199,3,59,
0.691755652,4,74,
0.691440284,5,89,
,6,99,0.691250563
0.691122293,6,104,
0.69078362,7,119,
0.690437794,8,134,
,9,149,0.690111279
0.690090895,9,149,
0.689744055,10,164,
0.689397395,11,179,
0.689051151,12,194,
,13,199,0.688953578
0.688695192,13,209,
0.688319266,14,224,
0.687938988,15,239,
,16,249,0.687710047
0.687558174,16,254,
0.687177598,17,269,
0.68679738,18,284,
,19,299,0.686440766
0.68641758,19,299,
0.686017215,20,314,
0.685602248,21,329,
0.685184598,22,344,
,23,349,0.685064316
0.684766769,23,359,
0.684349418,24,374,
0.683932424,25,389,
,26,399,0.683682382
0.683512092,26,404,
0.68306458,27,419,
0.68260777,28,434,
,29,449,0.682193935
0.682149589,29,449,
0.681691527,30,464,
0.681233823,31,479,
0.680776775,32,494,
,33,499,0.680648744
0.680306911,33,509,
0.679810643,34,524,
0.679308712,35,539,
,36,549,0.679001093
0.678806126,36,554,
0.678303719,37,569,
0.677801788,38,584,
,39,599,0.677320778
0.677300274,39,599,
0.6767717,40,614,
0.676223755,41,629,
0.675672114,42,644,
,43,649,0.675573707
0.675119996,43,659,
0.674568176,44,674,
0.674016535,45,689,
,46,699,0.673676491
0.673460186,46,704,
0.672867239,47,719,
0.672261596,48,734,
,49,749,0.671662927
0.671652973,49,749,
0.671043634,50,764,
0.67043376,51,779,
0.669823408,52,794,
,53,799,0.669650078
0.66919446,53,809,
0.668528497,54,824,
0.667852461,55,839,
,56,849,0.667393804
0.667172492,56,854,
0.666489482,57,869,
0.665803015,58,884,
,59,899,0.665206254
0.665112615,59,899,
0.664379776,60,914,
0.6636132,61,929,
0.662832618,62,944,
,63,949,0.662668049
0.66204083,63,959,
0.661236703,64,974,
0.660418451,65,989,
,66,999,0.659931958
0.659576237,66,1004,
0.658658981,67,1019,
0.65769428,68,1034,
,69,1049,0.656767666
0.656690955,69,1049,
0.65564543,70,1064,
0.654549539,71,1079,
0.653394341,72,1094,
,73,1099,0.653051436
0.652136207,73,1109,
0.650718927,74,1124,
0.649163485,75,1139,
,76,1149,0.648194551
0.647454381,76,1154,
0.645561159,77,1169,
0.643447578,78,1184,
,79,1199,0.641230464
0.641067803,79,1199,
