train_loss,train_acc,epoch,step,val_loss,val_acc
1.8594895601272583,0.21875,0,49,,
1.7852128744125366,0.3828125,0,99,,
1.6752831935882568,0.4140625,0,149,,
1.6876899003982544,0.3671875,0,199,,
1.548230528831482,0.3984375,0,249,,
1.6589730978012085,0.4140625,0,299,,
1.5396521091461182,0.4609375,0,349,,
,,0,390,1.3892210721969604,0.4984999895095825
1.4242857694625854,0.515625,1,399,,
1.4293818473815918,0.453125,1,449,,
1.3362537622451782,0.53125,1,499,,
1.3151220083236694,0.5234375,1,549,,
1.362994909286499,0.53125,1,599,,
1.201127290725708,0.5390625,1,649,,
1.29094660282135,0.5625,1,699,,
1.3108875751495361,0.5625,1,749,,
,,1,781,1.1958359479904175,0.5666999816894531
1.2073237895965576,0.5390625,2,799,,
1.3359469175338745,0.5234375,2,849,,
1.1759394407272339,0.578125,2,899,,
1.142667531967163,0.59375,2,949,,
1.041945457458496,0.671875,2,999,,
1.163054347038269,0.515625,2,1049,,
1.1396105289459229,0.5625,2,1099,,
0.9971050024032593,0.6484375,2,1149,,
,,2,1172,1.0912386178970337,0.6197999715805054
1.0360522270202637,0.5859375,3,1199,,
1.170518159866333,0.53125,3,1249,,
1.000189185142517,0.6328125,3,1299,,
0.8727481961250305,0.6796875,3,1349,,
1.2306989431381226,0.5546875,3,1399,,
1.2098113298416138,0.5625,3,1449,,
1.0028705596923828,0.65625,3,1499,,
1.0581527948379517,0.609375,3,1549,,
,,3,1563,1.025090217590332,0.6453999876976013
0.7273073792457581,0.78125,4,1599,,
0.8874739408493042,0.671875,4,1649,,
0.8282225131988525,0.7109375,4,1699,,
1.0658589601516724,0.671875,4,1749,,
0.911771833896637,0.6796875,4,1799,,
1.0125970840454102,0.6640625,4,1849,,
0.7137565612792969,0.8046875,4,1899,,
1.133577823638916,0.5859375,4,1949,,
,,4,1954,0.9239688515663147,0.6822999715805054
0.874525785446167,0.6875,5,1999,,
0.7304669618606567,0.7265625,5,2049,,
0.8201016187667847,0.6640625,5,2099,,
1.0324268341064453,0.640625,5,2149,,
0.7157677412033081,0.7578125,5,2199,,
0.942559003829956,0.6640625,5,2249,,
0.8509443402290344,0.703125,5,2299,,
,,5,2345,0.8713568449020386,0.7067999839782715
0.961351215839386,0.671875,6,2349,,
0.6704612374305725,0.7578125,6,2399,,
1.2889519929885864,0.609375,6,2449,,
1.0195214748382568,0.6484375,6,2499,,
0.9045043587684631,0.671875,6,2549,,
0.9150682687759399,0.6796875,6,2599,,
0.9827252626419067,0.640625,6,2649,,
0.8866177797317505,0.6875,6,2699,,
,,6,2736,0.8304282426834106,0.7231000065803528
0.8369341492652893,0.6875,7,2749,,
0.8211647868156433,0.78125,7,2799,,
0.8712531924247742,0.6796875,7,2849,,
0.8194265961647034,0.7265625,7,2899,,
0.8467812538146973,0.703125,7,2949,,
0.9812543392181396,0.671875,7,2999,,
0.8623809814453125,0.703125,7,3049,,
0.7925253510475159,0.75,7,3099,,
,,7,3127,0.842720627784729,0.7171000242233276
1.0043917894363403,0.6171875,8,3149,,
0.7402547001838684,0.765625,8,3199,,
0.6022663116455078,0.78125,8,3249,,
0.6999908089637756,0.7734375,8,3299,,
0.8603478670120239,0.703125,8,3349,,
0.8568145036697388,0.6953125,8,3399,,
0.8244873881340027,0.7578125,8,3449,,
0.7404463887214661,0.765625,8,3499,,
,,8,3518,0.9501387476921082,0.7037000060081482
0.9490552544593811,0.6640625,9,3549,,
1.4387614727020264,0.6484375,9,3599,,
2.4762558937072754,0.4765625,9,3649,,
2.416379690170288,0.5078125,9,3699,,
2.5665457248687744,0.359375,9,3749,,
3.2102389335632324,0.34375,9,3799,,
3.0520272254943848,0.25,9,3849,,
2.1606831550598145,0.296875,9,3899,,
,,9,3909,4.786701679229736,0.34200000762939453
2.01479172706604,0.328125,10,3949,,
1.5797319412231445,0.4453125,10,3999,,
1.4545818567276,0.4921875,10,4049,,
1.1376304626464844,0.59375,10,4099,,
1.3263306617736816,0.484375,10,4149,,
1.3078545331954956,0.5703125,10,4199,,
0.9053194522857666,0.6796875,10,4249,,
1.0867339372634888,0.6328125,10,4299,,
,,10,4300,1.0935931205749512,0.6139000058174133
1.182656168937683,0.5703125,11,4349,,
1.2312060594558716,0.625,11,4399,,
1.0889641046524048,0.65625,11,4449,,
1.175420880317688,0.6171875,11,4499,,
0.7873218655586243,0.703125,11,4549,,
0.9581087231636047,0.578125,11,4599,,
1.0160741806030273,0.6640625,11,4649,,
,,11,4691,0.9102399349212646,0.6930999755859375
0.7120441794395447,0.7265625,12,4699,,
0.789478063583374,0.7265625,12,4749,,
0.9395323991775513,0.6171875,12,4799,,
0.7436134815216064,0.765625,12,4849,,
0.7314619421958923,0.71875,12,4899,,
0.9066654443740845,0.6796875,12,4949,,
1.0137606859207153,0.625,12,4999,,
0.7165587544441223,0.7734375,12,5049,,
,,12,5082,0.8257043957710266,0.7328000068664551
0.8287695050239563,0.75,13,5099,,
0.7541429996490479,0.75,13,5149,,
0.8323803544044495,0.7109375,13,5199,,
1.0373473167419434,0.6484375,13,5249,,
1.0035991668701172,0.6875,13,5299,,
1.2665793895721436,0.5703125,13,5349,,
1.1359694004058838,0.6015625,13,5399,,
0.9566240906715393,0.640625,13,5449,,
,,13,5473,0.9377831816673279,0.6789000034332275
1.0239661931991577,0.6640625,14,5499,,
1.0545480251312256,0.6328125,14,5549,,
0.7146614789962769,0.7421875,14,5599,,
0.7992607355117798,0.765625,14,5649,,
0.7177419066429138,0.7265625,14,5699,,
0.8860145807266235,0.703125,14,5749,,
