train_loss,train_acc,epoch,step,val_loss,val_acc
2.088712453842163,0.2265625,0,49,,
1.928049921989441,0.3203125,0,99,,
1.8892344236373901,0.3203125,0,149,,
1.6496655941009521,0.4140625,0,199,,
1.661855936050415,0.4296875,0,249,,
1.6263720989227295,0.4921875,0,299,,
1.4862947463989258,0.4453125,0,349,,
,,0,390,1.43900728225708,0.486299991607666
1.3554171323776245,0.4765625,1,399,,
1.47989821434021,0.4453125,1,449,,
1.376077651977539,0.4453125,1,499,,
1.2116858959197998,0.5546875,1,549,,
1.2289867401123047,0.6171875,1,599,,
1.2929373979568481,0.5546875,1,649,,
1.4540560245513916,0.515625,1,699,,
1.2111455202102661,0.5859375,1,749,,
,,1,781,1.1845887899398804,0.5910000205039978
1.0437026023864746,0.6484375,2,799,,
1.1370924711227417,0.5859375,2,849,,
1.069761872291565,0.59375,2,899,,
1.203835129737854,0.5625,2,949,,
1.1206614971160889,0.609375,2,999,,
1.0343652963638306,0.6328125,2,1049,,
0.9491797685623169,0.640625,2,1099,,
1.0275408029556274,0.625,2,1149,,
,,2,1172,1.0358408689498901,0.6463000178337097
0.9064473509788513,0.71875,3,1199,,
0.9112617373466492,0.609375,3,1249,,
0.8666197061538696,0.671875,3,1299,,
0.9425795078277588,0.6484375,3,1349,,
0.9706916809082031,0.6875,3,1399,,
1.0231927633285522,0.671875,3,1449,,
1.0991804599761963,0.640625,3,1499,,
0.7908182740211487,0.7265625,3,1549,,
,,3,1563,0.9388151168823242,0.6895999908447266
0.717526912689209,0.734375,4,1599,,
0.7384899854660034,0.7734375,4,1649,,
0.7916095852851868,0.7109375,4,1699,,
0.9053189754486084,0.6796875,4,1749,,
0.9360296130180359,0.640625,4,1799,,
0.8282453417778015,0.6875,4,1849,,
0.7953349947929382,0.7265625,4,1899,,
0.876123309135437,0.6875,4,1949,,
,,4,1954,0.8644923567771912,0.7164000272750854
0.7303346395492554,0.7109375,5,1999,,
0.7951748371124268,0.7421875,5,2049,,
0.657586395740509,0.7265625,5,2099,,
0.7281226515769958,0.7265625,5,2149,,
0.7316660284996033,0.8046875,5,2199,,
0.748278021812439,0.765625,5,2249,,
0.7499443888664246,0.7265625,5,2299,,
,,5,2345,0.916640043258667,0.7279999852180481
0.8410433530807495,0.7421875,6,2349,,
0.9251660704612732,0.6640625,6,2399,,
0.88857102394104,0.6953125,6,2449,,
0.6717261672019958,0.75,6,2499,,
0.8808138966560364,0.71875,6,2549,,
0.9122787714004517,0.7109375,6,2599,,
1.1219842433929443,0.6484375,6,2649,,
0.8052215576171875,0.7421875,6,2699,,
,,6,2736,0.9925605654716492,0.7254999876022339
0.7474972605705261,0.71875,7,2749,,
0.923790454864502,0.734375,7,2799,,
0.6131430864334106,0.765625,7,2849,,
0.7593223452568054,0.75,7,2899,,
0.5834739208221436,0.8203125,7,2949,,
0.8023210167884827,0.7109375,7,2999,,
0.7197877168655396,0.734375,7,3049,,
0.8168723583221436,0.71875,7,3099,,
,,7,3127,0.9338511824607849,0.7346000075340271
0.6858838200569153,0.8125,8,3149,,
0.8028261661529541,0.765625,8,3199,,
0.9798657298088074,0.6953125,8,3249,,
0.5206566452980042,0.8046875,8,3299,,
0.6434191465377808,0.78125,8,3349,,
0.6697217226028442,0.75,8,3399,,
0.7227910161018372,0.765625,8,3449,,
0.7553455233573914,0.7578125,8,3499,,
,,8,3518,0.7700462937355042,0.7699000239372253
0.6138953566551208,0.796875,9,3549,,
0.7835018038749695,0.7421875,9,3599,,
0.6782189011573792,0.7578125,9,3649,,
0.719591498374939,0.7421875,9,3699,,
0.5814051032066345,0.7890625,9,3749,,
0.5685939788818359,0.7890625,9,3799,,
0.557299792766571,0.7734375,9,3849,,
0.587311327457428,0.7734375,9,3899,,
,,9,3909,0.7813616991043091,0.7742999792098999
0.6075984239578247,0.7890625,10,3949,,
0.7015213370323181,0.7578125,10,3999,,
0.7130125164985657,0.7734375,10,4049,,
0.5630674362182617,0.828125,10,4099,,
0.8980278968811035,0.78125,10,4149,,
0.5193364024162292,0.7890625,10,4199,,
0.7055957913398743,0.796875,10,4249,,
0.471006840467453,0.8125,10,4299,,
,,10,4300,0.6779519319534302,0.8043000102043152
0.797534167766571,0.7734375,11,4349,,
0.4437848925590515,0.8671875,11,4399,,
0.5107476115226746,0.828125,11,4449,,
0.5380125045776367,0.84375,11,4499,,
0.6535100340843201,0.8125,11,4549,,
0.5882477164268494,0.7421875,11,4599,,
0.5054512619972229,0.796875,11,4649,,
,,11,4691,0.8234291076660156,0.7908999919891357
0.5993880033493042,0.7890625,12,4699,,
0.42822250723838806,0.8515625,12,4749,,
0.40219372510910034,0.84375,12,4799,,
0.46785402297973633,0.8671875,12,4849,,
0.519734799861908,0.7890625,12,4899,,
0.6518459916114807,0.8046875,12,4949,,
0.5580183267593384,0.796875,12,4999,,
0.6863775849342346,0.7890625,12,5049,,
